Iteration 1 of 20, 1890101 overlaps (0.373892 s)
Iteration 2 of 20, 263581 overlaps (0.324321 s)
Iteration 3 of 20, 156305 overlaps (0.321510 s)
Iteration 4 of 20, 140138 overlaps (0.330745 s)
Iteration 5 of 20, 125812 overlaps (0.325266 s)
Iteration 6 of 20, 116588 overlaps (0.323950 s)
Iteration 7 of 20, 108841 overlaps (0.318660 s)
Iteration 8 of 20, 102790 overlaps (0.319837 s)
Iteration 9 of 20, 99439 overlaps (0.324011 s)
Iteration 10 of 20, 93840 overlaps (0.321707 s)
Iteration 11 of 20, 90586 overlaps (0.325108 s)
Iteration 12 of 20, 86783 overlaps (0.322477 s)
Iteration 13 of 20, 84811 overlaps (0.319842 s)
Iteration 14 of 20, 82776 overlaps (0.323948 s)
Iteration 15 of 20, 79836 overlaps (0.323802 s)
Iteration 16 of 20, 78048 overlaps (0.321694 s)
Iteration 17 of 20, 75396 overlaps (0.323788 s)
Iteration 18 of 20, 74433 overlaps (0.322147 s)
Iteration 19 of 20, 72055 overlaps (0.323388 s)
Iteration 20 of 20, 71652 overlaps (0.321564 s)
Elapsed time: 6.511847
