Iteration 1 of 20, 1890101 overlaps 
Iteration 2 of 20, 263581 overlaps 
Iteration 3 of 20, 156305 overlaps 
Iteration 4 of 20, 140138 overlaps 
Iteration 5 of 20, 125812 overlaps 
Iteration 6 of 20, 116588 overlaps 
Iteration 7 of 20, 108841 overlaps 
Iteration 8 of 20, 102790 overlaps 
Iteration 9 of 20, 99439 overlaps 
Iteration 10 of 20, 93840 overlaps 
Iteration 11 of 20, 90586 overlaps 
Iteration 12 of 20, 86783 overlaps 
Iteration 13 of 20, 84811 overlaps 
Iteration 14 of 20, 82776 overlaps 
Iteration 15 of 20, 79836 overlaps 
Iteration 16 of 20, 78048 overlaps 
Iteration 17 of 20, 75396 overlaps 
Iteration 18 of 20, 74433 overlaps 
Iteration 19 of 20, 72055 overlaps 
Iteration 20 of 20, 71652 overlaps 
