Iteration 1 of 20, 1890101 overlaps (0.370331 s)
Iteration 2 of 20, 263581 overlaps (0.329122 s)
Iteration 3 of 20, 156305 overlaps (0.322331 s)
Iteration 4 of 20, 140138 overlaps (0.323791 s)
Iteration 5 of 20, 125812 overlaps (0.321309 s)
Iteration 6 of 20, 116588 overlaps (0.327803 s)
Iteration 7 of 20, 108841 overlaps (0.321935 s)
Iteration 8 of 20, 102790 overlaps (0.328547 s)
Iteration 9 of 20, 99439 overlaps (0.326854 s)
Iteration 10 of 20, 93840 overlaps (0.323482 s)
Iteration 11 of 20, 90586 overlaps (0.319081 s)
Iteration 12 of 20, 86783 overlaps (0.323429 s)
Iteration 13 of 20, 84811 overlaps (0.320077 s)
Iteration 14 of 20, 82776 overlaps (0.324654 s)
Iteration 15 of 20, 79836 overlaps (0.324433 s)
Iteration 16 of 20, 78048 overlaps (0.324738 s)
Iteration 17 of 20, 75396 overlaps (0.318837 s)
Iteration 18 of 20, 74433 overlaps (0.334294 s)
Iteration 19 of 20, 72055 overlaps (0.326870 s)
Iteration 20 of 20, 71652 overlaps (0.318759 s)
Elapsed time: 6.530871
